Date_time,BO1013_FLOW1,BO1016_Pressure(m),BO1017_FLOW1,BO1017_Pressure(m),BO1021_FLOW1),BO1021_Pressure,BO1022_flow1,BO1022_Pressure(m),BO1029_FLOW1,BO1029_FLOW2,BO1029_Pressure(m),BO1044_FLOW1,BO1044_FLOW2,BO1044_Pressure ,NB1013_FLOW1,NB1013_FLOW2,NB1013_Pressure,NB1017_FLOW1,NB1017_FLOW2,NB1017_Pressure,NB1019_FLOW1,NB1019_FLOW2,NB1019_Pressure,NB1020_FLOW1,NB1020_FLOW2,NB1020_Pressure,NB1021_FLOW1,NB1021_FLOW2,NB1021_Pressure,NB1022_FLOW1,TD1029_flow1,TD1029_Pressure,TD1043_FLOW1,TD1043_Press(m),TD1044_flow1,TD1044_press,NMNBOOTM1_FLOW1,BOO_TM2_Pressure
15/09/23 00:00,612.8,21.859,3232,20.275,,,398.4,19.898,201.6,0,14.486,0,0,-0.5,657.6,0,-0.094,3468,0,20.089,1239.2,0,17.894,402,0,-0.5,1672,0,0,397.2,231.2,14.863,670,24,260,35.5,9720.001,12.631
15/09/23 00:15,598,22.08,3200,20.556,,,341.2,20.008,175.2,0,14.812,0,0,-0.5,614,0,-0.117,3384,0,20.365,1118.4,0,18.245,370,0,-0.5,1576,0,0,360,196.4,14.659,577.6,24,242.3,32.75,9000.001,12.6
15/09/23 00:30,585.2,22.268,3168,20.816,,,344.4,20.462,175.6,0,14.522,0,0,-0.5,586.8,0,-0.094,3340,0,20.705,1082.8,0,18.62,356,0,-0.5,1596,0,0,355.2,171.6,14.855,541.2,24,224.6,30,8800.001,12.6
15/09/23 00:45,574,22.453,3080,21.028,,,354.4,20.642,152,0,14.546,0,0,-0.5,582.4,0,-0.117,3264,0,20.901,1056.8,0,18.841,361.6,0,-0.5,1612,0,0,364.8,173.2,14.855,542.8,24,215.7,28.75,8640.001,12.631
15/09/23 01:00,557.6,22.659,3076,21.274,,,362.8,20.877,144,0,14.501,0,0,-0.5,568.4,0,-0.094,3232,0,21.133,1058.4,0,19.191,352,0,-0.5,1608,0,0,368.8,150.8,14.926,526,24,206.8,27.5,8480.001,12.631
15/09/23 01:15,542.8,22.849,2992,21.487,,,301.6,21.175,154.4,0,14.59,0,0,-0.5,548.8,0,-0.117,3188,0,21.342,1014,0,19.461,339.6,0,-0.5,1624,0,0,308,141.6,14.706,503.6,24,204.4,27.5,8280.001,12.6
15/09/23 01:30,532,22.951,2988,21.618,,,294,21.41,282.4,0,14.384,0,0,-0.5,544.4,0,-0.094,3108,0,21.483,1000.8,0,19.595,342,0,-0.5,1632,0,0,305.6,153.6,15.114,498.8,24,202,27.5,8200.001,12.631
15/09/23 01:45,520,23.216,2928,21.957,,,311.2,21.629,230,0,14.838,0,0,-0.5,521.2,0,-0.094,3100,0,21.83,1005.2,0,20.097,345.6,0,-0.5,1624,0,0,329.6,277.6,14.73,470.8,24,193.5,27.5,8200.001,12.631
15/09/23 02:00,513.6,23.474,2852,22.357,,,298,22.404,114.4,0,14.653,0,0,-0.5,514,0,-0.117,3032,0,22.193,1009.6,0,20.646,340.4,0,-0.5,1536,0,0,306.8,227.2,15.114,445.2,24.5,185,27.5,7960.001,12.6
15/09/23 02:15,509.2,23.561,2860,22.477,,,289.6,22.553,120.8,0,14.619,0,0,-0.5,509.6,0,-0.094,2992,0,22.391,1030,0,20.771,342,0,-0.5,1352,0,0,292.4,110.8,14.777,422.8,24,181.1,27.5,7600.001,12.631
15/09/23 02:30,497.2,23.702,2796,22.631,,,276.8,22.639,144.8,0,14.548,0,0,-0.5,500.8,0,-0.117,2920,0,22.527,1009.6,0,20.912,332,0,-0.5,1352,0,0,282.4,118.8,15.067,408.8,24.5,177.2,27.5,7480.001,12.631
15/09/23 02:45,488,23.82,2704,22.785,,,284.4,22.553,143.6,0,14.841,0,0,-0.5,490.4,0,-0.117,2864,0,22.574,960.8,0,21.09,324.8,0,-0.5,1336,0,0,296.4,142,14.659,404.4,24,168.2,27.75,7440.001,12.631
15/09/23 03:00,488.4,23.94,2652,22.907,,,357.2,22.796,245.2,0,14.253,0,0,-0.5,478.4,0,-0.117,2796,0,22.814,947.6,0,21.2,308.8,0,-0.5,1336,0,0,372,141.2,14.949,454.4,24.5,159.2,28,7360.001,12.631
15/09/23 03:15,482.4,24.046,2612,23.042,,,346,22.96,264.4,0,14.624,0,0,-0.5,479.6,0,-0.094,2772,0,22.944,951.6,0,21.387,304,0,-0.5,1352,0,0,355.6,242.4,15.458,456.4,24.5,156.7,28,7400.001,12.631
15/09/23 03:30,475.2,23.763,2556,23.06,,,300.4,23.062,314,0,14.543,0,0,-0.5,475.2,0,-0.094,2744,0,22.916,918,0,21.4,296.4,0,-0.5,1356,0,0,313.2,261.6,14.832,459.6,24.5,154.2,28,7360.001,12.631
15/09/23 03:45,481.2,23.685,2604,23.081,,,316.4,22.827,354.8,0,14.603,0,0,-0.5,468.4,0,-0.094,2740,0,22.965,899.6,0,21.445,294,0,-0.5,1368,0,0,318.8,310.8,14.863,454.8,24.5,155.2,28,7360.001,12.631
15/09/23 04:00,490.4,23.584,2564,22.99,,,287.2,22.984,372.4,0,14.59,0,0,-0.5,484.8,0,-0.063,2724,0,22.926,896.8,0,21.323,286.4,0,-0.5,1404,0,0,297.6,351.2,15.098,459.6,24.5,156.2,28,7400.001,12.631
15/09/23 04:15,494.4,23.496,2572,22.89,,,281.2,23.093,354.8,0,14.543,0,0,-0.5,488.4,0,-0.094,2736,0,22.837,900.8,0,21.102,286,0,-0.5,1472,0,0,288.8,366.4,14.471,441.2,24.5,157.8,28,7440.001,12.631
15/09/23 04:30,508.4,23.344,2612,22.707,,,278.8,22.796,348.4,0,14.778,0,0,-0.5,493.2,0,-0.063,2756,0,22.649,903.6,0,20.926,282.4,0,-0.5,1528,0,0,281.2,349.6,15.341,531.6,24,159.4,28,7600.001,12.631
15/09/23 04:45,564.4,23.502,2696,22.703,,,288.8,22.506,362.8,0,14.742,0,0,-0.5,495.6,0,-0.11,2852,0,22.271,920.4,0,20.695,286.4,0,-0.5,1540,0,0,300.8,346.8,14.91,545.2,24,167.8,28,7680.001,12.639
15/09/23 05:00,664.8,24.892,3016,23.481,,,269.6,23.446,386,0,17.394,0,0,-0.5,552.8,0,-0.086,3180,0,23.44,1062,0,20.865,296.4,0,-0.5,1660,0,0,271.6,357.6,17.956,611.2,27,176.2,28,8160.001,12.639
15/09/23 05:15,654,24.553,3040,22.822,,,272,22.608,378.4,0,17.399,0,0,-0.5,661.2,0,-0.086,3284,0,22.772,1103.6,0,19.946,309.2,0,-0.5,2020,0,0,283.2,378.8,17.753,690.4,27,193.7,27.75,9240.001,12.639
