Time,BO1016_pressure,BO1017_pressure,BO1029_pressure,NB1017_pressure,WS8007_pressure,NMN BOO Pressure
09/03/2023 0:00,21.488,20.313,13.168,20.039,12.678,21.444
09/03/2023 0:15,21.864,20.885,13.504,20.619,12.709,21.264
09/03/2023 0:30,22.005,20.924,13.285,20.713,12.709,20.787
09/03/2023 0:45,22.153,21.214,13.379,20.995,12.709,21.076
09/03/2023 1:00,22.373,21.386,13.191,21.19,12.709,20.787
09/03/2023 1:15,22.803,21.997,13.34,21.809,12.709,20.763
09/03/2023 1:30,22.882,22.028,13.528,21.809,12.709,20.826
09/03/2023 1:45,23.093,22.13,13.379,21.997,12.702,20.841
09/03/2023 2:00,23.164,22.467,13.41,22.279,12.702,20.497
09/03/2023 2:15,23.187,22.459,13.222,22.185,12.702,21.139
09/03/2023 2:30,23.375,22.717,13.34,22.514,12.702,21.217
09/03/2023 2:45,23.477,22.85,13.003,22.663,12.702,21.272
09/03/2023 3:00,23.602,22.968,13.191,22.749,12.702,21.397
09/03/2023 3:15,23.579,22.968,13.168,22.772,12.702,20.755
09/03/2023 3:30,23.688,23.07,13.426,22.85,12.702,21.327
09/03/2023 3:45,23.602,22.999,13.215,22.764,12.678,21.068
09/03/2023 4:00,23.634,22.999,13.403,22.788,12.702,21.233
09/03/2023 4:15,23.493,22.882,13.379,22.694,12.694,20.7
09/03/2023 4:30,23.43,22.756,13.183,22.522,12.694,21.092
09/03/2023 4:45,23.218,22.522,13.301,22.279,12.694,20.567
09/03/2023 5:00,22.819,21.895,13.285,21.707,12.67,21.1
09/03/2023 5:15,24.15,23.062,15.282,22.882,12.67,22.455
09/03/2023 5:30,23.923,22.741,15.258,22.569,12.647,22.979
09/03/2023 5:45,23.273,21.895,15.298,21.676,12.67,22.509
09/03/2023 6:00,29.906,27.627,24.585,27.471,12.694,30.896
09/03/2023 6:15,29.358,27.087,24.663,26.93,12.702,31.523
09/03/2023 6:30,29.209,26.805,24.507,26.641,12.733,31.35
09/03/2023 6:45,28.575,26.194,24.131,26.045,12.741,31.358
09/03/2023 7:00,33.688,30.431,32.345,30.227,12.749,38.187
09/03/2023 7:15,33.735,30.392,32.588,30.266,12.756,38.539
09/03/2023 7:30,33.359,29.828,32.361,29.569,12.827,38.61
09/03/2023 7:45,33.078,29.514,32.463,29.421,12.843,38.649
09/03/2023 8:00,32.874,29.256,32.338,29.193,12.827,39.197
09/03/2023 8:15,32.435,28.692,32.001,28.551,12.874,38.617
09/03/2023 8:30,32.404,28.653,32.345,28.395,12.882,38.555
09/03/2023 8:45,32.216,28.41,32.416,28.222,12.882,38.743
09/03/2023 9:00,32.224,28.504,32.361,28.356,12.882,38.844
09/03/2023 9:15,32.224,28.504,32.15,28.293,12.89,38.296
09/03/2023 9:30,32.263,28.536,32.541,28.269,12.913,39.299
09/03/2023 9:45,32.302,28.59,32.4,28.403,12.913,39.322
09/03/2023 10:00,32.302,28.551,32.369,28.442,12.952,38.539
09/03/2023 10:15,32.443,28.677,32.478,28.489,12.944,38.335
09/03/2023 10:30,32.388,28.7,32.345,28.473,12.905,38.155
09/03/2023 10:45,32.396,28.684,32.275,28.45,12.976,38.837
09/03/2023 11:00,32.428,28.637,32.259,28.504,13.031,38.68
09/03/2023 11:15,32.49,28.598,32.322,28.536,12.984,38.382
09/03/2023 11:30,32.42,28.771,32.408,28.575,12.921,39.017
09/03/2023 11:45,32.49,28.692,32.291,28.645,12.913,38.938
09/03/2023 12:00,32.702,28.974,32.353,28.747,12.905,37.936
09/03/2023 12:15,32.913,29.264,32.361,29.099,12.858,38.844
09/03/2023 12:30,32.991,29.303,32.424,29.28,12.827,38.805
09/03/2023 12:45,33.07,29.514,32.095,29.327,12.905,38.523
