Date_time,BO1016_Pressure(m),BO1017_FLOW1
9/15/2023 0:00,21.859,3232
9/15/2023 0:15,22.08,3200
9/15/2023 0:30,22.268,3168
9/15/2023 0:45,22.453,3080
9/15/2023 1:00,22.659,3076
9/15/2023 1:15,22.849,2992
9/15/2023 1:30,22.951,2988
9/15/2023 1:45,23.216,2928
9/15/2023 2:00,23.474,2852
9/15/2023 2:15,23.561,2860
9/15/2023 2:30,23.702,2796
9/15/2023 2:45,23.82,2704
9/15/2023 3:00,23.94,2652
9/15/2023 3:15,24.046,2612
9/15/2023 3:30,23.763,2556
9/15/2023 3:45,23.685,2604
9/15/2023 4:00,23.584,2564
9/15/2023 4:15,23.496,2572
9/15/2023 4:30,23.344,2612
9/15/2023 4:45,23.502,2696
9/15/2023 5:00,24.892,3016
9/15/2023 5:15,24.553,3040
9/15/2023 5:30,23.6,3324
9/15/2023 5:45,24.736,3636
9/15/2023 6:00,28.042,4220
9/15/2023 6:15,27.549,4300
9/15/2023 6:30,27.212,4432
9/15/2023 6:45,28.881,4600
9/15/2023 7:00,32.282,4892
9/15/2023 7:15,32.27,4944
9/15/2023 7:30,32.39,4992
9/15/2023 7:45,32.5,5000
9/15/2023 8:00,32.416,4904
9/15/2023 8:15,32.447,4884
9/15/2023 8:30,32.494,4980
9/15/2023 8:45,32.611,4860
9/15/2023 9:00,32.62,4976
9/15/2023 9:15,32.965,4992
9/15/2023 9:30,33.054,4832
9/15/2023 9:45,33.025,4904
9/15/2023 10:00,33.057,4904
9/15/2023 10:15,33.11,4824
9/15/2023 10:30,33.276,4748
9/15/2023 10:45,33.358,4844
9/15/2023 11:00,33.374,4896
9/15/2023 11:15,33.437,4736
9/15/2023 11:30,33.445,4836
9/15/2023 11:45,33.366,4836
9/15/2023 12:00,33.483,4836
9/15/2023 12:15,33.785,4760
9/15/2023 12:30,33.986,4896
9/15/2023 12:45,33.198,4776
9/15/2023 13:00,32.003,4600
9/15/2023 13:15,31.922,4584
9/15/2023 13:30,32.34,4548
9/15/2023 13:45,32.45,4544
9/15/2023 14:00,32.505,4556
9/15/2023 14:15,32.597,4528
9/15/2023 14:30,32.679,4528
9/15/2023 14:45,32.664,4560
9/15/2023 15:00,32.494,4452
9/15/2023 15:15,32.407,4356
9/15/2023 15:30,32.191,4532
9/15/2023 15:45,33.142,4600
9/15/2023 16:00,35.096,4908
9/15/2023 16:15,35.053,4860
9/15/2023 16:30,35.15,4780
9/15/2023 16:45,34.476,4904
9/15/2023 17:00,33.727,4984
9/15/2023 17:15,33.077,4972
9/15/2023 17:30,32.795,5268
9/15/2023 17:45,32.477,5220
9/15/2023 18:00,32.753,5116
9/15/2023 18:15,32.655,5216
9/15/2023 18:30,32.715,5260
9/15/2023 18:45,32.278,5200
9/15/2023 19:00,31.593,5212
9/15/2023 19:15,31.568,5232
9/15/2023 19:30,31.879,5152
9/15/2023 19:45,32.074,5020
9/15/2023 20:00,32.184,5076
9/15/2023 20:15,32.302,5032
9/15/2023 20:30,32.312,4920
9/15/2023 20:45,32.436,5088
9/15/2023 21:00,32.703,5012
9/15/2023 21:15,32.81,5156
9/15/2023 21:30,33.06,5020
9/15/2023 21:45,29.484,4696
9/15/2023 22:00,25.992,4296
9/15/2023 22:15,26.151,4328
9/15/2023 22:30,26.455,4352
9/15/2023 22:45,24.451,4020
9/15/2023 23:00,22.744,3892
9/15/2023 23:15,22.941,3752
9/15/2023 23:30,23.24,3664
9/15/2023 23:45,22.177,3492
9/16/2023 0:00,21.676,3284
9/16/2023 0:15,21.82,3272
9/16/2023 0:30,22.102,3244
9/16/2023 0:45,22.505,3180
9/16/2023 1:00,22.687,3128
9/16/2023 1:15,22.818,3200
9/16/2023 1:30,23.087,3096
9/16/2023 1:45,23.262,2976
9/16/2023 2:00,23.385,2932
9/16/2023 2:15,23.467,2872
9/16/2023 2:30,23.653,2840
9/16/2023 2:45,23.765,2776
9/16/2023 3:00,23.861,2744
9/16/2023 3:15,23.972,2700
9/16/2023 3:30,23.582,2640
9/16/2023 3:45,23.514,2528
9/16/2023 4:00,23.569,2560
9/16/2023 4:15,23.59,2620
9/16/2023 4:30,23.425,2656
9/16/2023 4:45,23.218,2704
9/16/2023 5:00,24.846,2872
9/16/2023 5:15,24.755,3096
9/16/2023 5:30,23.747,3124
9/16/2023 5:45,26.085,3532
9/16/2023 6:00,29.081,4028
9/16/2023 6:15,28.606,4172
9/16/2023 6:30,28.175,4184
9/16/2023 6:45,30.69,4604
9/16/2023 7:00,33.079,4816
9/16/2023 7:15,32.871,4772
9/16/2023 7:30,32.508,4916
9/16/2023 7:45,32.366,4876
9/16/2023 8:00,32.198,4808
9/16/2023 8:15,32.029,4944
9/16/2023 8:30,32.22,4768
9/16/2023 8:45,32.238,4876
9/16/2023 9:00,32.082,5008
9/16/2023 9:15,31.96,4964
9/16/2023 9:30,32.05,5076
9/16/2023 9:45,32.063,4784
9/16/2023 10:00,32.108,4980
9/16/2023 10:15,32.182,5008
9/16/2023 10:30,32.191,4920
9/16/2023 10:45,32.15,4964
9/16/2023 11:00,32.231,5140
9/16/2023 11:15,32.257,5100
9/16/2023 11:30,32.398,5032
9/16/2023 11:45,32.542,5208
9/16/2023 12:00,32.466,4972
9/16/2023 12:15,32.557,4908
9/16/2023 12:30,32.679,4940
9/16/2023 12:45,32.168,4880
9/16/2023 13:00,30.911,4836
9/16/2023 13:15,31.124,4752
9/16/2023 13:30,31.253,4816
9/16/2023 13:45,31.405,4712
9/16/2023 14:00,31.383,4584
9/16/2023 14:15,31.342,4836
9/16/2023 14:30,31.523,4776
9/16/2023 14:45,31.414,4712
9/16/2023 15:00,31.438,4680
9/16/2023 15:15,31.371,4752
9/16/2023 15:30,31.083,4676
9/16/2023 15:45,31.745,4804
9/16/2023 16:00,34.089,5136
9/16/2023 16:15,34.009,5188
9/16/2023 16:30,34.021,5216
9/16/2023 16:45,33.811,5060
9/16/2023 17:00,33.37,5048
9/16/2023 17:15,32.865,5196
9/16/2023 17:30,32.77,5072
9/16/2023 17:45,32.787,5180
9/16/2023 18:00,32.882,5196
9/16/2023 18:15,33.067,5120
9/16/2023 18:30,33.085,5148
9/16/2023 18:45,32.869,5228
9/16/2023 19:00,31.913,5276
9/16/2023 19:15,32.106,5148
9/16/2023 19:30,32.254,5040
9/16/2023 19:45,32.412,4896
9/16/2023 20:00,32.439,5128
9/16/2023 20:15,32.721,5064
9/16/2023 20:30,32.819,5020
9/16/2023 20:45,32.934,4860
9/16/2023 21:00,33,5040
9/16/2023 21:15,32.95,5192
9/16/2023 21:30,33.423,4972
9/16/2023 21:45,29.948,4784
9/16/2023 22:00,26.484,4332
9/16/2023 22:15,26.661,4224
9/16/2023 22:30,26.866,4220
9/16/2023 22:45,26.537,4148
9/16/2023 23:00,23.243,3720
9/16/2023 23:15,23.385,3688
9/16/2023 23:30,23.667,3604
9/16/2023 23:45,23.483,3520
9/17/2023 0:00,22.317,3368
9/17/2023 0:15,22.506,3304
9/17/2023 0:30,22.673,3288
9/17/2023 0:45,22.885,3204
9/17/2023 1:00,23.042,3116
9/17/2023 1:15,23.221,3080
9/17/2023 1:30,23.39,3000
9/17/2023 1:45,23.578,2988
9/17/2023 2:00,23.96,2940
9/17/2023 2:15,24.17,2848
9/17/2023 2:30,24.28,2844
9/17/2023 2:45,24.418,2744
9/17/2023 3:00,24.547,2680
9/17/2023 3:15,24.671,2596
