Date_time,BO1017_Pressure(m),BO1021_FLOW1),BO1021_Pressure,BO1022_flow1,BO1022_Pressure(m),,,,,,,,,,,,
9/15/2023 0:00,20.275,1613.08,13.078,398.4,19.898,,,,,,,,,,,,
9/15/2023 0:15,20.556,1540.28,13.038,341.2,20.008,,,,,,,,,,,,
9/15/2023 0:30,20.816,1558.08,13.039,344.4,20.462,,,,,,,,,,,,
9/15/2023 0:45,21.028,1549.68,13.062,354.4,20.642,,,,,,,,,,,,
9/15/2023 1:00,21.274,1442.48,13.023,362.8,20.877,,,,,,,,,,,,
9/15/2023 1:15,21.487,1405.48,13.046,301.6,21.175,,,,,,,,,,,,
9/15/2023 1:30,21.618,1392.68,12.929,294,21.41,,,,,,,,,,,,
9/15/2023 1:45,21.957,1382.68,13.015,311.2,21.629,,,,,,,,,,,,
9/15/2023 2:00,22.357,1388.08,12.952,298,22.404,,,,,,,,,,,,
9/15/2023 2:15,22.477,1267.88,12.914,289.6,22.553,,,,,,,,,,,,
9/15/2023 2:30,22.631,1239.68,12.913,276.8,22.639,,,,,,,,,,,,
9/15/2023 2:45,22.785,1233.28,12.944,284.4,22.553,,,,,,,,,,,,
9/15/2023 3:00,22.907,1225.48,12.858,357.2,22.796,,,,,,,,,,,,
9/15/2023 3:15,23.042,1225.68,12.913,346,22.96,,,,,,,,,,,,
9/15/2023 3:30,23.06,1242.88,12.881,300.4,23.062,,,,,,,,,,,,
9/15/2023 3:45,23.081,1249.28,12.889,316.4,22.827,,,,,,,,,,,,
9/15/2023 4:00,22.99,1265.68,12.944,287.2,22.984,,,,,,,,,,,,
9/15/2023 4:15,22.89,1305.08,12.905,281.2,23.093,,,,,,,,,,,,
9/15/2023 4:30,22.707,1332.48,12.888,278.8,22.796,,,,,,,,,,,,
9/15/2023 4:45,22.703,1377.48,12.992,288.8,22.506,,,,,,,,,,,,
9/15/2023 5:00,23.481,1497.28,12.959,269.6,23.446,,,,,,,,,,,,
9/15/2023 5:15,22.822,1827.68,12.952,272,22.608,,,,,,,,,,,,
9/15/2023 5:30,21.663,1920.48,12.952,302.8,21.84,,,,,,,,,,,,
9/15/2023 5:45,22.199,2148.28,13.031,317.2,20.11,,,,,,,,,,,,
9/15/2023 6:00,24.788,2348.68,12.92,422,23.344,,,,,,,,,,,,
9/15/2023 6:15,24.168,2544.88,12.873,558,22.388,,,,,,,,,,,,
9/15/2023 6:30,23.804,2481.88,12.921,597.2,21.809,,,,,,,,,,,,
9/15/2023 6:45,25.075,2480.28,12.945,669.2,21.738,,,,,,,,,,,,
9/15/2023 7:00,27.983,2606.28,12.96,740.8,25.02,,,,,,,,,,,,
9/15/2023 7:15,27.95,2727.08,12.943,764,25.638,,,,,,,,,,,,
9/15/2023 7:30,28.051,2731.08,12.935,856.8,25.27,,,,,,,,,,,,
9/15/2023 7:45,28.152,2694.48,12.976,870,25.348,,,,,,,,,,,,
9/15/2023 8:00,28.069,2684.28,12.943,884.4,25.192,,,,,,,,,,,,
9/15/2023 8:15,28.112,2672.08,13.037,934,25.286,,,,,,,,,,,,
9/15/2023 8:30,28.221,2673.28,12.952,910.4,25.348,,,,,,,,,,,,
9/15/2023 8:45,28.299,2677.88,12.998,899.6,25.607,,,,,,,,,,,,
9/15/2023 9:00,28.295,2663.68,13.029,957.6,25.341,,,,,,,,,,,,
9/15/2023 9:15,28.662,2644.28,13.054,970.8,25.646,,,,,,,,,,,,
9/15/2023 9:30,28.797,2639.08,13.157,861.6,26.124,,,,,,,,,,,,
9/15/2023 9:45,28.817,2625.28,13.21,839.6,26.241,,,,,,,,,,,,
9/15/2023 10:00,28.847,2623.88,13.312,838,26.273,,,,,,,,,,,,
9/15/2023 10:15,28.894,2639.68,13.304,817.2,26.265,,,,,,,,,,,,
9/15/2023 10:30,29.076,2624.68,13.407,826,26.609,,,,,,,,,,,,
9/15/2023 10:45,29.108,2574,13.344,876.4,26.429,,,,,,,,,,,,
9/15/2023 11:00,29.2,2550.4,13.352,906.8,26.742,,,,,,,,,,,,
9/15/2023 11:15,29.281,2525.6,13.367,843.6,26.899,,,,,,,,,,,,
9/15/2023 11:30,29.205,2536.8,13.367,798.8,26.648,,,,,,,,,,,,
9/15/2023 11:45,29.137,2499.2,13.383,858.8,26.641,,,,,,,,,,,,
9/15/2023 12:00,29.305,2508.8,13.446,850.8,26.75,,,,,,,,,,,,
9/15/2023 12:15,29.715,2461.2,13.43,784,27.502,,,,,,,,,,,,
9/15/2023 12:30,29.935,2286,13.469,762.8,27.682,,,,,,,,,,,,
9/15/2023 12:45,29.325,2260,13.5,786.8,27.784,,,,,,,,,,,,
9/15/2023 13:00,28.51,2248,13.508,826,26.468,,,,,,,,,,,,
9/15/2023 13:15,28.7,2202.8,13.485,804.4,26.703,,,,,,,,,,,,
9/15/2023 13:30,28.699,2215.2,13.485,839.2,26.57,,,,,,,,,,,,
9/15/2023 13:45,28.863,2192.4,13.516,869.2,26.805,,,,,,,,,,,,
9/15/2023 14:00,28.939,2170.4,13.493,866.8,26.938,,,,,,,,,,,,
9/15/2023 14:15,29.017,2202.8,13.524,827.2,27.079,,,,,,,,,,,,
9/15/2023 14:30,29.135,2226,13.524,832.8,27.063,,,,,,,,,,,,
9/15/2023 14:45,29.222,2237.6,13.524,845.6,27.533,,,,,,,,,,,,
9/15/2023 15:00,29.013,2162.4,13.524,864.8,27.22,,,,,,,,,,,,
9/15/2023 15:15,29.034,2185.6,13.516,891.6,27.087,,,,,,,,,,,,
9/15/2023 15:30,29.116,2213.6,13.485,848,27.04,,,,,,,,,,,,
9/15/2023 15:45,29.796,2238.4,13.438,727.2,27.369,,,,,,,,,,,,
9/15/2023 16:00,31.477,2507.6,13.43,707.2,29.123,,,,,,,,,,,,
9/15/2023 16:15,31.411,2634,13.391,748.4,28.731,,,,,,,,,,,,
