Date_time,NB1022_FLOW1,TD1029_flow1,TD1029_Pressure,TD1043_FLOW1,TD1043_Press(m),TD1044_flow1,TD1044_press,NMNBOOTM1_FLOW1,BOO_TM2_Pressure,BOO_TM2_flow1,NB1021_FLOW1,,,,
9/15/2023 0:00,397.2,231.2,14.863,670,24,260,35.5,9720.001,12.631,9600,1672,,,,
9/15/2023 0:15,360,196.4,14.659,577.6,24,242.3,32.75,9000.001,12.6,8920,1576,,,,
9/15/2023 0:30,355.2,171.6,14.855,541.2,24,224.6,30,8800.001,12.6,8720,1596,,,,
9/15/2023 0:45,364.8,173.2,14.855,542.8,24,215.7,28.75,8640.001,12.631,8560,1612,,,,
9/15/2023 1:00,368.8,150.8,14.926,526,24,206.8,27.5,8480.001,12.631,8440,1608,,,,
9/15/2023 1:15,308,141.6,14.706,503.6,24,204.4,27.5,8280.001,12.6,8240,1624,,,,
9/15/2023 1:30,305.6,153.6,15.114,498.8,24,202,27.5,8200.001,12.631,8120,1632,,,,
9/15/2023 1:45,329.6,277.6,14.73,470.8,24,193.5,27.5,8200.001,12.631,8120,1624,,,,
9/15/2023 2:00,306.8,227.2,15.114,445.2,24.5,185,27.5,7960.001,12.6,7840,1536,,,,
9/15/2023 2:15,292.4,110.8,14.777,422.8,24,181.1,27.5,7600.001,12.631,7520,1352,,,,
9/15/2023 2:30,282.4,118.8,15.067,408.8,24.5,177.2,27.5,7480.001,12.631,7400,1352,,,,
9/15/2023 2:45,296.4,142,14.659,404.4,24,168.2,27.75,7440.001,12.631,7360,1336,,,,
9/15/2023 3:00,372,141.2,14.949,454.4,24.5,159.2,28,7360.001,12.631,7280,1336,,,,
9/15/2023 3:15,355.6,242.4,15.458,456.4,24.5,156.7,28,7400.001,12.631,7320,1352,,,,
9/15/2023 3:30,313.2,261.6,14.832,459.6,24.5,154.2,28,7360.001,12.631,7240,1356,,,,
9/15/2023 3:45,318.8,310.8,14.863,454.8,24.5,155.2,28,7360.001,12.631,7280,1368,,,,
9/15/2023 4:00,297.6,351.2,15.098,459.6,24.5,156.2,28,7400.001,12.631,7320,1404,,,,
9/15/2023 4:15,288.8,366.4,14.471,441.2,24.5,157.8,28,7440.001,12.631,7360,1472,,,,
9/15/2023 4:30,281.2,349.6,15.341,531.6,24,159.4,28,7600.001,12.631,7480,1528,,,,
9/15/2023 4:45,300.8,346.8,14.91,545.2,24,167.8,28,7680.001,12.639,7640,1540,,,,
