Date_time,BO1013_FLOW1,BO1016_Pressure(m),BO1017_Pressure(m),BO1021_FLOW1),BO1021_Pressure,BO1022_flow1,BO1022_Pressure(m),BO1017_FLOW1,BO1029_FLOW1,BO1029_Pressure(m),NB1013_FLOW1,NB1017_FLOW1,NB1017_Pressure,NB1019_FLOW1,NB1019_Pressure,NB1020_FLOW1,NB1021_FLOW1,NB1022_FLOW1,TD1029_flow1,TD1029_Pressure,TD1043_FLOW1,TD1043_Press(m),NMNBOOTM1_FLOW1,BOO_TM2_Pressure,,,,,,,
9/15/2023 0:00,612.8,21.859,20.275,1613.08,13.078,398.4,19.898,3232,201.6,14.486,657.6,3468,20.089,1239.2,17.894,402,1672,397.2,231.2,14.863,670,24,9720.001,12.631,,,,,,,
9/15/2023 0:15,598,22.08,20.556,1540.28,13.038,341.2,20.008,3200,175.2,14.812,614,3384,20.365,1118.4,18.245,370,1576,360,196.4,14.659,577.6,24,9000.001,12.6,,,,,,,
9/15/2023 0:30,585.2,22.268,20.816,1558.08,13.039,344.4,20.462,3168,175.6,14.522,586.8,3340,20.705,1082.8,18.62,356,1596,355.2,171.6,14.855,541.2,24,8800.001,12.6,,,,,,,
9/15/2023 0:45,574,22.453,21.028,1549.68,13.062,354.4,20.642,3080,152,14.546,582.4,3264,20.901,1056.8,18.841,361.6,1612,364.8,173.2,14.855,542.8,24,8640.001,12.631,,,,,,,
9/15/2023 1:00,557.6,22.659,21.274,1442.48,13.023,362.8,20.877,3076,144,14.501,568.4,3232,21.133,1058.4,19.191,352,1608,368.8,150.8,14.926,526,24,8480.001,12.631,,,,,,,
9/15/2023 1:15,542.8,22.849,21.487,1405.48,13.046,301.6,21.175,2992,154.4,14.59,548.8,3188,21.342,1014,19.461,339.6,1624,308,141.6,14.706,503.6,24,8280.001,12.6,,,,,,,
9/15/2023 1:30,532,22.951,21.618,1392.68,12.929,294,21.41,2988,282.4,14.384,544.4,3108,21.483,1000.8,19.595,342,1632,305.6,153.6,15.114,498.8,24,8200.001,12.631,,,,,,,
9/15/2023 1:45,520,23.216,21.957,1382.68,13.015,311.2,21.629,2928,230,14.838,521.2,3100,21.83,1005.2,20.097,345.6,1624,329.6,277.6,14.73,470.8,24,8200.001,12.631,,,,,,,
9/15/2023 2:00,513.6,23.474,22.357,1388.08,12.952,298,22.404,2852,114.4,14.653,514,3032,22.193,1009.6,20.646,340.4,1536,306.8,227.2,15.114,445.2,24.5,7960.001,12.6,,,,,,,
9/15/2023 2:15,509.2,23.561,22.477,1267.88,12.914,289.6,22.553,2860,120.8,14.619,509.6,2992,22.391,1030,20.771,342,1352,292.4,110.8,14.777,422.8,24,7600.001,12.631,,,,,,,
9/15/2023 2:30,497.2,23.702,22.631,1239.68,12.913,276.8,22.639,2796,144.8,14.548,500.8,2920,22.527,1009.6,20.912,332,1352,282.4,118.8,15.067,408.8,24.5,7480.001,12.631,,,,,,,
9/15/2023 2:45,488,23.82,22.785,1233.28,12.944,284.4,22.553,2704,143.6,14.841,490.4,2864,22.574,960.8,21.09,324.8,1336,296.4,142,14.659,404.4,24,7440.001,12.631,,,,,,,
9/15/2023 3:00,488.4,23.94,22.907,1225.48,12.858,357.2,22.796,2652,245.2,14.253,478.4,2796,22.814,947.6,21.2,308.8,1336,372,141.2,14.949,454.4,24.5,7360.001,12.631,,,,,,,
9/15/2023 3:15,482.4,24.046,23.042,1225.68,12.913,346,22.96,2612,264.4,14.624,479.6,2772,22.944,951.6,21.387,304,1352,355.6,242.4,15.458,456.4,24.5,7400.001,12.631,,,,,,,
9/15/2023 3:30,475.2,23.763,23.06,1242.88,12.881,300.4,23.062,2556,314,14.543,475.2,2744,22.916,918,21.4,296.4,1356,313.2,261.6,14.832,459.6,24.5,7360.001,12.631,,,,,,,
9/15/2023 3:45,481.2,23.685,23.081,1249.28,12.889,316.4,22.827,2604,354.8,14.603,468.4,2740,22.965,899.6,21.445,294,1368,318.8,310.8,14.863,454.8,24.5,7360.001,12.631,,,,,,,
9/15/2023 4:00,490.4,23.584,22.99,1265.68,12.944,287.2,22.984,2564,372.4,14.59,484.8,2724,22.926,896.8,21.323,286.4,1404,297.6,351.2,15.098,459.6,24.5,7400.001,12.631,,,,,,,
9/15/2023 4:15,494.4,23.496,22.89,1305.08,12.905,281.2,23.093,2572,354.8,14.543,488.4,2736,22.837,900.8,21.102,286,1472,288.8,366.4,14.471,441.2,24.5,7440.001,12.631,,,,,,,
9/15/2023 4:30,508.4,23.344,22.707,1332.48,12.888,278.8,22.796,2612,348.4,14.778,493.2,2756,22.649,903.6,20.926,282.4,1528,281.2,349.6,15.341,531.6,24,7600.001,12.631,,,,,,,
9/15/2023 4:45,564.4,23.502,22.703,1377.48,12.992,288.8,22.506,2696,362.8,14.742,495.6,2852,22.271,920.4,20.695,286.4,1540,300.8,346.8,14.91,545.2,24,7680.001,12.639,,,,,,,
9/15/2023 5:00,664.8,24.892,23.481,1497.28,12.959,269.6,23.446,3016,386,17.394,552.8,3180,23.44,1062,20.865,296.4,1660,271.6,357.6,17.956,611.2,27,8160.001,12.639,,,,,,,
9/15/2023 5:15,654,24.553,22.822,1827.68,12.952,272,22.608,3040,378.4,17.399,661.2,3284,22.772,1103.6,19.946,309.2,2020,283.2,378.8,17.753,690.4,27,9240.001,12.639,,,,,,,
9/15/2023 5:30,689.2,23.6,21.663,1920.48,12.952,302.8,21.84,3324,278,17.206,651.2,3492,21.762,1221.6,18.429,333.2,2132,315.6,370.8,18.183,765.2,26.5,9600.001,12.67,,,,,,,
9/15/2023 5:45,797.6,24.736,22.199,2148.28,13.031,317.2,20.11,3636,340,20.67,671.2,3896,22.151,1359.2,18.123,358.4,2228,327.6,275.2,17.659,871.2,26,10160,12.647,,,,,,,
9/15/2023 6:00,926.4,28.042,24.788,2348.68,12.92,422,23.344,4220,393.6,25.76,784,4476,24.774,1671.2,19.793,401.2,2372,433.2,336,27.134,1112,34,11720,12.647,,,,,,,
9/15/2023 6:15,980.8,27.549,24.168,2544.88,12.873,558,22.388,4300,394.4,26.673,913.6,4584,24.158,1703.2,19.076,464,2584,573.6,390,26.969,1414.4,34,13400,12.647,,,,,,,
9/15/2023 6:30,1034.4,27.212,23.804,2481.88,12.921,597.2,21.809,4432,366.8,26.637,979.2,4656,23.79,1679.6,18.76,469.2,2572,618.8,389.2,26.813,1448.8,33.5,13760,12.655,,,,,,,
9/15/2023 6:45,1064,28.881,25.075,2480.28,12.945,669.2,21.738,4600,407.6,30.121,1019.2,4888,24.936,1788.8,19.499,496.8,2524,695.2,364,26.969,1516,33.5,13880,12.709,,,,,,,
9/15/2023 7:00,1118.4,32.282,27.983,2606.28,12.96,740.8,25.02,4892,518.8,34.209,1039.2,5248,27.836,1922,21.823,510.8,2536,746,399.6,34.933,1524,40.5,14560,12.694,,,,,,,
9/15/2023 7:15,1108.4,32.27,27.95,2727.08,12.943,764,25.638,4944,555.6,34.306,1128.8,5240,27.914,1842.8,21.832,558.4,2668,786,514,34.55,1626.4,41,15440,12.709,,,,,,,
9/15/2023 7:30,1074.8,32.39,28.051,2731.08,12.935,856.8,25.27,4992,421.2,34.199,1094.4,5248,27.844,1834.8,21.953,549.6,2680,865.2,550.8,34.808,1547.6,41.5,15480,12.749,,,,,,,
9/15/2023 7:45,1036.8,32.5,28.152,2694.48,12.976,870,25.348,5000,455.6,34.152,1067.6,5196,28.071,1888.8,22.011,566.8,2668,867.2,419.2,34.526,1558,41,15280,12.764,,,,,,,
9/15/2023 8:00,1049.2,32.416,28.069,2684.28,12.943,884.4,25.192,4904,488,34.374,1025.6,5200,27.954,1960.8,21.805,565.2,2656,884.8,453.2,35.176,1491.6,41.5,15200,12.811,,,,,,,
9/15/2023 8:15,1079.6,32.447,28.112,2672.08,13.037,934,25.286,4884,551.2,34.421,1051.2,5152,27.985,1887.6,21.835,545.2,2640,954.4,485.2,35.121,1453.2,41.5,15240,12.819,,,,,,,
9/15/2023 8:30,1086.8,32.494,28.221,2673.28,12.952,910.4,25.348,4980,591.2,34.233,1064,5152,28.16,1939.2,22.101,524,2644,908,546.8,34.73,1378.8,41.5,15240,12.858,,,,,,,
9/15/2023 8:45,1075.6,32.611,28.299,2677.88,12.998,899.6,25.607,4860,589.6,34.282,1081.6,5144,28.293,1841.2,22.274,543.6,2620,901.6,586.4,35.082,1289.6,42,15240,12.874,,,,,,,
9/15/2023 9:00,1026.4,32.62,28.295,2663.68,13.029,957.6,25.341,4976,591.2,34.457,1066.4,5144,28.217,1905.6,22.206,541.6,2608,964.8,584.4,34.816,1311.6,41.5,15240,12.913,,,,,,,
9/15/2023 9:15,1014,32.965,28.662,2644.28,13.054,970.8,25.646,4992,594,34.28,1020.8,5176,28.596,1840.8,22.727,552.4,2632,1010.4,586.4,34.824,1300.4,42,15200,12.921,,,,,,,
9/15/2023 9:30,1015.6,33.054,28.797,2639.08,13.157,861.6,26.124,4832,598.4,34.397,1003.6,5164,28.758,1877.2,22.893,544.4,2624,897.6,589.2,34.769,1276,42,15040,12.976,,,,,,,
9/15/2023 9:45,1038.8,33.025,28.817,2625.28,13.21,839.6,26.241,4904,596.4,34.426,1008.4,5136,28.653,1819.6,22.923,532.8,2628,842,592.8,34.894,1275.6,42,14920,12.976,,,,,,,
9/15/2023 10:00,1042,33.057,28.847,2623.88,13.312,838,26.273,4904,604,34.387,1037.6,5132,28.833,1911.6,23.001,538.8,2628,859.6,593.6,34.62,1236.4,42.5,14920,12.952,,,,,,,
